模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
TXJ-03-26-03,TXJ-03-26-03,,,,,铁,,,,,
TXJ-03-26-04,TXJ-03-26-04,,,,,铁,,,,,
TXJ-03-27-01,TXJ-03-27-01,,,,,铁,,,,,
TXJ-03-27-02,TXJ-03-27-02,,,,,铁,,,,,
TXJ-03-27-03,TXJ-03-27-03,,,,,铁,,,,,
TXJ-03-27-04,TXJ-03-27-04,,,,,铁,,,,,
TXJ-03-28-01,TXJ-03-28-01,,,,,铁,,,,,
TXJ-03-28-02,TXJ-03-28-02,,,,,铁,,,,,
TXJ-03-28-03,TXJ-03-28-03,,,,,铁,,,,,
TXJ-01-25-01,TXJ-01-25-01,,,,,铁,,,,,
TXJ-01-25-02,TXJ-01-25-02,,,,,铁,,,,,
TXJ-01-25-03,TXJ-01-25-03,,,,,铁,,,,,
TXJ-01-25-04,TXJ-01-25-04,,,,,铁,,,,,
TXJ-01-25-05,TXJ-01-25-05,,,,,铁,,,,,
TXJ-01-25-06,TXJ-01-25-06,,,,,铁,,,,,
TXJ-01-25-07,TXJ-01-25-07,,,,,铁,,,,,
TXJ-01-25-08,TXJ-01-25-08,,,,,铁,,,,,
TXJ-01-25-09,TXJ-01-25-09,,,,,铁,,,,,
TXJ-01-26-01,TXJ-01-26-01,,,,,铁,,,,,
TXJ-01-26-02,TXJ-01-26-02,,,,,铁,,,,,
TXJ-01-26-03,TXJ-01-26-03,,,,,铁,,,,,
TXJ-01-26-04,TXJ-01-26-04,,,,,铁,,,,,
TXJ-01-26-05,TXJ-01-26-05,,,,,铁,,,,,
TXJ-01-26-06,TXJ-01-26-06,,,,,铁,,,,,
TXJ-01-26-07,TXJ-01-26-07,,,,,铁,,,,,
TXJ-01-26-08,TXJ-01-26-08,,,,,铁,,,,,
TXJ-01-26-09,TXJ-01-26-09,,,,,铁,,,,,
TXJ-01-26-10,TXJ-01-26-10,,,,,铁,,,,,
TXJ-01-26-11,TXJ-01-26-11,,,,,铁,,,,,
TXJ-01-26-12,TXJ-01-26-12,,,,,铁,,,,,
TXJ-01-27-01,TXJ-01-27-01,,,,,铁,,,,,
TXJ-01-27-02,TXJ-01-27-02,,,,,铁,,,,,
TXJ-01-27-03,TXJ-01-27-03,,,,,铁,,,,,
TXJ-01-27-04,TXJ-01-27-04,,,,,铁,,,,,
TXJ-01-27-05,TXJ-01-27-05,,,,,铁,,,,,
TXJ-01-27-06,TXJ-01-27-06,,,,,铁,,,,,
TXJ-01-27-07,TXJ-01-27-07,,,,,铁,,,,,
TXJ-01-27-08,TXJ-01-27-08,,,,,铁,,,,,
TXJ-01-27-09,TXJ-01-27-09,,,,,铁,,,,,
TXJ-01-27-10,TXJ-01-27-10,,,,,铁,,,,,
TXJ-01-27-11,TXJ-01-27-11,,,,,铁,,,,,
TXJ-01-27-12,TXJ-01-27-12,,,,,铁,,,,,
TXJ-01-28-01,TXJ-01-28-01,,,,,铁,,,,,
TXJ-01-28-02,TXJ-01-28-02,,,,,铁,,,,,
TXJ-01-28-03,TXJ-01-28-03,,,,,铁,,,,,
TXJ-01-28-04,TXJ-01-28-04,,,,,铁,,,,,
TXJ-01-28-05,TXJ-01-28-05,,,,,铁,,,,,
TXJ-01-28-06,TXJ-01-28-06,,,,,铁,,,,,
TXJ-01-28-07,TXJ-01-28-07,,,,,铁,,,,,
TXJ-01-28-08,TXJ-01-28-08,,,,,铁,,,,,
TXJ-01-28-09,TXJ-01-28-09,,,,,铁,,,,,
TXJ-02-25-01,TXJ-02-25-01,,,,,铁,,,,,
TXJ-02-25-02,TXJ-02-25-02,,,,,铁,,,,,
TXJ-02-25-03,TXJ-02-25-03,,,,,铁,,,,,
TXJ-02-25-04,TXJ-02-25-04,,,,,铁,,,,,
TXJ-02-25-05,TXJ-02-25-05,,,,,铁,,,,,
TXJ-02-25-06,TXJ-02-25-06,,,,,铁,,,,,
TXJ-02-26-01,TXJ-02-26-01,,,,,铁,,,,,
TXJ-02-26-02,TXJ-02-26-02,,,,,铁,,,,,
TXJ-02-26-03,TXJ-02-26-03,,,,,铁,,,,,
TXJ-02-26-04,TXJ-02-26-04,,,,,铁,,,,,
TXJ-02-26-05,TXJ-02-26-05,,,,,铁,,,,,
TXJ-02-26-06,TXJ-02-26-06,,,,,铁,,,,,
TXJ-02-26-07,TXJ-02-26-07,,,,,铁,,,,,
TXJ-02-26-08,TXJ-02-26-08,,,,,铁,,,,,
TXJ-02-27-01,TXJ-02-27-01,,,,,铁,,,,,
TXJ-02-27-02,TXJ-02-27-02,,,,,铁,,,,,
TXJ-02-27-03,TXJ-02-27-03,,,,,铁,,,,,
TXJ-02-27-04,TXJ-02-27-04,,,,,铁,,,,,
TXJ-02-27-05,TXJ-02-27-05,,,,,铁,,,,,
TXJ-02-27-06,TXJ-02-27-06,,,,,铁,,,,,
TXJ-02-27-07,TXJ-02-27-07,,,,,铁,,,,,
TXJ-02-27-08,TXJ-02-27-08,,,,,铁,,,,,
TXJ-02-28-01,TXJ-02-28-01,,,,,铁,,,,,
TXJ-02-28-02,TXJ-02-28-02,,,,,铁,,,,,
TXJ-02-28-03,TXJ-02-28-03,,,,,铁,,,,,
TXJ-02-28-04,TXJ-02-28-04,,,,,铁,,,,,
TXJ-02-28-05,TXJ-02-28-05,,,,,铁,,,,,
TXJ-02-28-06,TXJ-02-28-06,,,,,铁,,,,,
TXJ-04-25-01,TXJ-04-25-01,,,,,铁,,,,,
TXJ-04-25-02,TXJ-04-25-02,,,,,铁,,,,,
TXJ-04-25-03,TXJ-04-25-03,,,,,铁,,,,,
TXJ-04-25-04,TXJ-04-25-04,,,,,铁,,,,,
TXJ-04-25-05,TXJ-04-25-05,,,,,铁,,,,,
TXJ-04-25-06,TXJ-04-25-06,,,,,铁,,,,,
TXJ-04-25-07,TXJ-04-25-07,,,,,铁,,,,,
TXJ-04-26-01,TXJ-04-26-01,,,,,铁,,,,,
TXJ-04-26-02,TXJ-04-26-02,,,,,铁,,,,,
TXJ-04-26-03,TXJ-04-26-03,,,,,铁,,,,,
TXJ-04-26-04,TXJ-04-26-04,,,,,铁,,,,,
TXJ-04-26-05,TXJ-04-26-05,,,,,铁,,,,,
TXJ-04-26-06,TXJ-04-26-06,,,,,铁,,,,,
TXJ-04-26-07,TXJ-04-26-07,,,,,铁,,,,,
TXJ-04-26-08,TXJ-04-26-08,,,,,铁,,,,,
